CustomerID,JoinDate,Age,Gender,MonthlySpend,TenureMonth,NumTransactions,PaymentMethod,Region,Churn
CUST00037,2023-10-18,,,0,51,48.0,E-Wallet,Jabodetabek,Yes
CUST00038,2024-05-01,,,1092211,10,2.0,Credit Card,,Yes
CUST00039,2023-06-01,75.0,Male,4506480,25,,Credit Card,,Yes
CUST00040,2023-05-17,67.0,F,2322472,36,16.0,E-Wallet,,No
CUST00041,2025-02-08,,Female,2447941,48,,E-Wallet,,No
CUST00042,2023-11-24,,,3162494,19,,Credit Card,Jawa Barat,No
CUST00043,2024-07-09,,F,790911,5,,Cash,Jabodetabek,No
CUST00044,2023-11-02,,F,4796697,25,31.0,Cash,Jawa Barat,No
CUST00045,2025-05-10,,F,1978028,25,,Debit Card,Jabodetabek,Yes
CUST00046,2023-02-21,74.0,M,3176050,28,,Cash,Jawa Tengah,Yes
CUST00047,2025-05-04,,Male,0,18,,Cash,Jabodetabek,No
CUST00048,2023-09-11,,Female,1090455,50,42.0,Credit Card,Jawa Barat,Yes
CUST00049,2023-06-21,,,629784,30,,Credit Card,Jawa Barat,No
CUST00050,2025-01-02,66.0,Female,0,37,,Credit Card,Jawa Barat,No
CUST00051,2024-11-08,69.0,M,4669809,51,,Credit Card,Jawa Tengah,No
CUST00052,2023-06-30,,,0,41,30.0,E-Wallet,,No
CUST00053,2023-09-07,71.0,F,1275732,54,,Cash,Jawa Tengah,No
CUST00054,2024-09-02,,M,912691,23,,Credit Card,Jawa Barat,No
CUST00055,2024-04-03,68.0,Male,4024622,49,,Credit Card,Jawa Tengah,No
CUST00056,2024-03-11,71.0,,3642160,38,,E-Wallet,Jawa Tengah,No
CUST00057,2025-01-30,,,1204463,47,,Debit Card,Jawa Barat,Yes
CUST00058,2024-01-05,,Female,0,7,,E-Wallet,Jabodetabek,Yes
CUST00059,2023-04-16,,Male,3114349,19,45.0,E-Wallet,,No
CUST00060,2024-02-15,,F,0,56,31.0,Credit Card,Jabodetabek,Yes
CUST00061,2025-03-05,67.0,,1424378,8,,Cash,,Yes
CUST00062,2024-10-02,69.0,Female,3640428,40,4.0,E-Wallet,Jabodetabek,Yes
CUST00063,2023-10-26,28.0,Male,2465223,1,,Debit Card,Jawa Tengah,No
CUST00064,2023-04-28,36.0,,0,51,41.0,Debit Card,Jawa Barat,No
CUST00065,2023-05-08,35.0,F,0,39,,E-Wallet,,No
CUST00066,2024-09-10,73.0,M,2221127,39,,Credit Card,Jabodetabek,No
CUST00067,2024-04-26,75.0,,4603818,53,18.0,Cash,Jawa Tengah,Yes
CUST00068,2024-11-17,,Male,0,23,,Debit Card,Jawa Tengah,No
CUST00069,2023-09-16,,M,4706171,3,30.0,Credit Card,,No
CUST00070,2024-10-02,65.0,F,0,4,,Credit Card,Jawa Barat,No
CUST00071,2024-12-27,35.0,Female,3918796,32,8.0,E-Wallet,Jabodetabek,Yes
CUST00072,2025-01-03,53.0,M,1092462,30,8.0,E-Wallet,,No
CUST00073,2023-10-10,48.0,F,2065901,25,13.0,E-Wallet,Jawa Tengah,Yes
CUST00074,2024-04-02,69.0,,4756314,38,,Cash,Jawa Tengah,Yes
CUST00075,2023-08-28,73.0,F,0,56,13.0,Credit Card,Jawa Tengah,No
CUST00076,2025-06-14,,F,787975,9,,Credit Card,,Yes
CUST00077,2024-10-27,,Male,0,51,,E-Wallet,,No
CUST00078,2024-10-08,75.0,M,4829519,3,40.0,Debit Card,Jabodetabek,Yes
CUST00079,2023-11-29,66.0,Male,571557,45,20.0,E-Wallet,Jawa Tengah,Yes
CUST00080,2023-06-29,41.0,Male,0,37,44.0,Cash,Jawa Barat,Yes
CUST00081,2025-04-03,49.0,F,3967101,17,,E-Wallet,Jawa Barat,Yes
CUST00082,2023-07-23,,F,0,45,,Cash,Jabodetabek,No
CUST00083,2023-10-09,71.0,Male,0,45,19.0,Credit Card,,No
CUST00084,2024-10-05,68.0,Male,3459285,13,,Credit Card,Jawa Tengah,Yes
CUST00085,2023-06-29,65.0,Female,1680338,6,,Debit Card,Jawa Tengah,No
CUST00086,2024-04-24,,Male,0,52,,Debit Card,Jawa Barat,Yes
CUST00087,2024-01-13,,M,0,1,17.0,Cash,Jawa Tengah,No
CUST00088,2024-10-25,24.0,Male,3052480,57,,Cash,Jawa Tengah,Yes
CUST00089,2023-08-29,59.0,,736267,20,32.0,Debit Card,,Yes
CUST00090,2024-11-01,70.0,Male,3878972,48,47.0,Cash,,No
CUST00091,2024-12-03,65.0,M,0,29,,E-Wallet,Jabodetabek,Yes
CUST00092,2023-02-21,43.0,M,0,6,43.0,Debit Card,Jawa Barat,Yes
CUST00093,2025-03-18,54.0,,3434440,14,,Credit Card,Jawa Tengah,Yes
CUST00094,2023-01-16,67.0,M,1201319,8,43.0,Debit Card,Jawa Tengah,Yes
CUST00095,2024-05-02,,F,3265831,27,34.0,E-Wallet,Jabodetabek,Yes
CUST00096,2023-03-04,46.0,F,4525139,34,,Cash,,Yes
CUST00097,2023-05-10,72.0,M,2010435,21,39.0,E-Wallet,,Yes
CUST00098,2024-03-16,,F,4060217,28,7.0,Debit Card,,Yes
CUST00099,2024-01-19,,Female,1894787,21,,Cash,Jabodetabek,No
CUST00100,2024-08-23,23.0,,3202510,48,24.0,E-Wallet,Jabodetabek,Yes
CUST00101,2023-04-17,70.0,,4820521,4,,Debit Card,Jawa Barat,No
CUST00102,2025-04-06,60.0,F,3734242,24,,Credit Card,Jawa Tengah,Yes
CUST00103,2024-08-02,,F,0,23,1.0,Credit Card,Jawa Barat,Yes
CUST00104,2024-01-14,58.0,M,0,27,,E-Wallet,Jabodetabek,Yes
CUST00105,2024-09-13,21.0,F,358719,18,,Cash,Jawa Tengah,No
CUST00106,2023-02-16,31.0,Female,1597759,19,,Cash,Jabodetabek,No
CUST00107,2023-05-03,,Male,1035979,49,,Cash,,No
CUST00108,2024-02-11,,Male,2383812,33,,Cash,Jabodetabek,Yes
CUST00109,2023-04-28,,F,0,46,,Credit Card,Jawa Tengah,No
CUST00110,2024-08-26,,F,0,55,7.0,Credit Card,,No
CUST00111,2025-03-05,37.0,M,1546991,5,33.0,E-Wallet,Jawa Barat,Yes
CUST00112,2025-03-02,33.0,F,1223608,39,10.0,Cash,,Yes
CUST00113,2024-04-25,75.0,F,4812457,21,,E-Wallet,Jawa Tengah,Yes
CUST00114,2024-01-13,,M,0,30,29.0,Credit Card,Jabodetabek,Yes
CUST00115,2025-04-09,74.0,,3970376,36,48.0,Debit Card,Jawa Tengah,No
CUST00116,2023-02-10,72.0,Female,0,7,22.0,Cash,,Yes
CUST00117,2025-03-04,73.0,M,0,59,,Credit Card,Jawa Tengah,No
CUST00118,2023-03-25,22.0,,0,19,17.0,Debit Card,Jawa Tengah,No
CUST00119,2024-10-20,75.0,M,3270431,46,,Debit Card,Jabodetabek,No
CUST00120,2023-12-16,,F,2282755,24,20.0,Debit Card,Jawa Barat,Yes
CUST00121,2025-06-16,26.0,,1390641,33,50.0,Debit Card,,No
CUST00122,2024-03-30,27.0,,0,3,,E-Wallet,,Yes
CUST00123,2024-04-17,32.0,M,0,58,,Cash,,No
CUST00124,2024-07-21,68.0,Male,0,4,,Credit Card,Jawa Tengah,No
CUST00125,2025-04-16,,F,4898564,10,28.0,E-Wallet,Jabodetabek,Yes
CUST00126,2023-01-29,,M,2255570,25,,Credit Card,Jawa Tengah,Yes
CUST00127,2024-09-22,27.0,Male,0,45,,Credit Card,Jabodetabek,No
CUST00128,2025-03-05,34.0,M,4971796,39,,Debit Card,Jawa Tengah,Yes
CUST00129,2024-09-03,25.0,,4339978,30,5.0,Credit Card,Jawa Barat,No
CUST00130,2024-11-11,,Male,0,16,,E-Wallet,Jabodetabek,Yes
CUST00131,2024-01-18,73.0,M,2279123,25,31.0,Credit Card,Jawa Tengah,No
CUST00132,2023-02-15,22.0,M,4617955,48,,E-Wallet,Jawa Barat,Yes
CUST00133,2023-10-28,72.0,Female,914529,5,,Credit Card,Jawa Barat,Yes
CUST00134,2023-10-20,,M,3835136,31,17.0,Credit Card,Jawa Tengah,Yes
CUST00135,2023-07-11,,F,0,48,,Cash,Jawa Tengah,No
CUST00136,2023-04-16,51.0,Male,0,39,,E-Wallet,Jawa Tengah,No
CUST00137,2025-01-14,72.0,M,3349479,29,,Cash,Jawa Tengah,Yes
CUST00138,2023-05-27,58.0,,3761918,52,48.0,Cash,Jabodetabek,Yes
CUST00139,2024-01-15,26.0,M,0,37,3.0,Cash,Jabodetabek,No
CUST00140,2023-01-27,67.0,Female,0,42,18.0,Cash,,Yes
CUST00141,2023-07-24,,Male,0,14,,Debit Card,Jabodetabek,No
CUST00142,2024-07-17,67.0,,3184110,55,,E-Wallet,Jawa Tengah,Yes
CUST00143,2025-03-20,28.0,F,1666208,8,13.0,Credit Card,Jawa Tengah,Yes
CUST00144,2023-11-13,,F,4685400,9,40.0,Cash,,Yes
CUST00145,2023-05-12,44.0,,3664855,5,,Debit Card,Jawa Barat,No
CUST00146,2024-12-27,45.0,Female,670769,20,11.0,E-Wallet,Jawa Tengah,No
CUST00147,2024-08-29,23.0,,2460396,41,20.0,Debit Card,Jawa Barat,Yes
CUST00148,2024-10-18,74.0,,4766913,3,2.0,E-Wallet,Jawa Barat,Yes
CUST00149,2023-09-08,71.0,F,4044461,35,,E-Wallet,,No
CUST00150,2023-11-17,22.0,M,0,30,,E-Wallet,,Yes
CUST00151,2023-09-11,70.0,Female,595367,30,,Credit Card,Jabodetabek,No
CUST00152,2025-02-20,71.0,Female,1903784,53,,Cash,,Yes
CUST00153,2024-08-20,,M,0,33,30.0,Credit Card,Jabodetabek,Yes
CUST00154,2023-09-28,72.0,M,3599257,1,,Cash,Jawa Tengah,Yes
CUST00155,2025-02-21,20.0,,3760267,19,,E-Wallet,Jabodetabek,No
CUST00156,2024-09-08,,,0,36,24.0,Cash,Jabodetabek,Yes
CUST00157,2023-12-02,20.0,,0,34,30.0,E-Wallet,Jawa Barat,Yes
CUST00158,2024-05-01,74.0,Male,0,33,,E-Wallet,Jawa Tengah,No
CUST00159,2023-09-29,71.0,,4670915,56,45.0,Debit Card,Jabodetabek,No
CUST00160,2025-04-21,55.0,Female,4319161,40,,Credit Card,Jabodetabek,Yes
CUST00161,2024-05-28,,,1465721,27,45.0,Cash,Jabodetabek,No
CUST00162,2024-04-15,26.0,,0,34,,E-Wallet,Jawa Tengah,Yes
CUST00163,2023-11-01,69.0,M,2180798,18,,Debit Card,,Yes
CUST00164,2025-04-18,,M,1296964,37,,Debit Card,Jawa Tengah,No
CUST00165,2023-07-26,69.0,,0,42,,E-Wallet,Jawa Tengah,Yes
CUST00166,2023-02-23,66.0,Male,1153621,43,34.0,Cash,Jawa Tengah,Yes
CUST00167,2024-05-03,66.0,Female,3010866,60,,E-Wallet,Jawa Tengah,No
CUST00168,2024-03-03,36.0,Female,4367969,15,35.0,Credit Card,,Yes
CUST00169,2023-10-19,67.0,F,1364112,1,20.0,Cash,Jawa Barat,No
CUST00170,2025-01-05,,Female,958709,22,,Credit Card,Jawa Tengah,No
CUST00171,2024-06-11,74.0,M,3368039,55,,Credit Card,,No
CUST00172,2024-01-28,60.0,Female,0,60,16.0,Cash,Jawa Tengah,No
CUST00173,2024-11-14,69.0,Male,3548516,24,45.0,Cash,Jawa Tengah,Yes
CUST00174,2024-01-12,71.0,,4935893,50,20.0,Debit Card,Jawa Barat,No
CUST00175,2025-02-19,26.0,Female,4568113,24,,Credit Card,,Yes
CUST00176,2023-06-18,51.0,M,3129516,58,33.0,Cash,Jabodetabek,Yes
CUST00177,2024-06-09,,F,4885107,29,,Cash,Jabodetabek,Yes
CUST00178,2024-08-15,72.0,Male,1442556,26,17.0,Credit Card,,Yes
CUST00179,2024-02-23,66.0,Female,402730,60,31.0,Debit Card,,No
CUST00180,2023-05-02,,Female,1733334,44,43.0,Cash,Jawa Barat,No
CUST00181,2025-04-23,32.0,Female,3970989,47,,Debit Card,,No
CUST00182,2024-09-21,,Male,4965892,49,8.0,Debit Card,Jawa Barat,No
CUST00183,2025-01-28,66.0,Male,3936254,44,46.0,Cash,,Yes
CUST00184,2023-08-31,32.0,M,3293885,19,,Debit Card,Jawa Barat,No
CUST00185,2024-07-23,,F,4167522,57,48.0,Credit Card,Jawa Tengah,No
CUST00186,2024-01-21,,Female,3668434,27,27.0,Cash,Jawa Barat,No
CUST00187,2024-07-24,69.0,,0,59,,Debit Card,,No
CUST00188,2024-07-02,33.0,Female,1535223,60,,Credit Card,Jawa Tengah,Yes
CUST00189,2023-08-02,75.0,M,315874,13,49.0,E-Wallet,Jabodetabek,No
CUST00190,2023-09-03,68.0,,0,59,16.0,E-Wallet,Jawa Tengah,No
CUST00191,2023-04-11,72.0,F,0,24,,E-Wallet,Jawa Barat,No
CUST00192,2024-07-20,,,341744,48,10.0,Cash,Jawa Tengah,No
CUST00193,2023-09-21,,F,3796581,54,,Cash,,No
CUST00194,2025-05-09,28.0,Male,4510606,32,12.0,Credit Card,Jabodetabek,Yes
CUST00195,2024-01-18,67.0,Male,3142539,10,1.0,Cash,,No
CUST00196,2023-01-18,65.0,,2463760,2,,Cash,Jawa Barat,No
CUST00197,2023-10-01,66.0,F,774521,40,,Credit Card,Jawa Tengah,No
CUST00198,2023-04-06,72.0,F,1170087,20,44.0,Cash,,Yes
CUST00199,2024-08-02,53.0,Male,189636,6,,Credit Card,Jawa Barat,No
CUST00200,2025-05-20,,M,1287055,44,18.0,Credit Card,Jawa Barat,Yes
CUST00201,2024-11-24,67.0,,1820574,20,11.0,E-Wallet,,No
CUST00202,2024-09-11,66.0,,1600639,28,15.0,Cash,Jawa Tengah,No
CUST00203,2023-07-10,,,2039744,23,,Cash,Jabodetabek,No
CUST00204,2023-11-21,57.0,M,0,10,25.0,Credit Card,Jabodetabek,No
CUST00205,2024-03-17,,F,0,7,9.0,Cash,Jabodetabek,Yes
CUST00206,2023-10-26,,F,3195169,39,,Cash,Jabodetabek,Yes
CUST00207,2023-11-05,68.0,M,3355641,25,11.0,Cash,Jawa Barat,No
CUST00208,2023-09-10,,F,0,31,,Debit Card,,No
CUST00209,2024-03-26,,M,0,22,,Cash,Jawa Barat,No
CUST00210,2025-01-22,70.0,F,0,12,,Debit Card,Jawa Tengah,No
CUST00211,2025-01-14,,F,3238840,13,38.0,Debit Card,,Yes
CUST00212,2025-01-02,,F,3291879,20,,Cash,Jabodetabek,Yes
CUST00213,2025-03-20,,M,4120649,60,,Credit Card,Jabodetabek,Yes
CUST00214,2025-03-26,75.0,F,3348837,40,,Credit Card,Jabodetabek,No
CUST00215,2024-01-19,24.0,F,4566264,36,38.0,Cash,Jawa Barat,No
CUST00216,2023-12-23,,M,0,59,6.0,E-Wallet,,Yes
CUST00217,2023-03-10,,M,1610877,29,,Credit Card,Jabodetabek,No
CUST00218,2024-07-19,70.0,Female,608700,60,48.0,E-Wallet,,Yes
CUST00219,2025-01-25,,,3390881,43,,Debit Card,,Yes
CUST00220,2025-03-29,,,168664,14,18.0,Debit Card,Jawa Tengah,Yes
CUST00221,2024-09-17,,F,3550194,56,,Credit Card,Jawa Tengah,No
CUST00222,2023-11-17,72.0,Male,4706532,46,20.0,Debit Card,Jawa Tengah,Yes
CUST00223,2024-03-09,,Female,0,27,39.0,Cash,Jawa Barat,No
CUST00224,2023-01-10,,F,1361460,21,29.0,Debit Card,Jawa Barat,No
CUST00225,2023-06-21,73.0,Male,3858016,32,,Credit Card,Jawa Barat,No
CUST00226,2024-07-16,,,0,11,,Credit Card,Jabodetabek,No
CUST00227,2024-03-11,,Male,2423494,49,,Debit Card,Jawa Tengah,Yes
CUST00228,2025-04-10,,,1612037,29,8.0,E-Wallet,,Yes
CUST00229,2024-09-03,28.0,,1016625,52,,Debit Card,Jawa Tengah,No
CUST00230,2025-02-07,69.0,F,4997321,58,44.0,Credit Card,Jawa Tengah,Yes
CUST00231,2024-05-16,67.0,Female,706545,46,21.0,E-Wallet,,No
CUST00232,2024-05-14,42.0,M,3844839,48,,Credit Card,Jabodetabek,No
CUST00233,2024-03-15,75.0,Female,1652495,51,,Cash,Jawa Tengah,Yes
CUST00234,2023-02-17,,Male,2445586,37,,Cash,Jabodetabek,Yes
CUST00235,2023-06-12,,M,0,13,45.0,Credit Card,Jawa Tengah,No
CUST00236,2024-11-02,,Male,0,41,20.0,Credit Card,Jabodetabek,No
CUST00237,2023-01-09,31.0,M,706583,34,,Credit Card,,Yes
CUST00238,2024-01-12,26.0,M,1110272,47,7.0,Debit Card,,No
CUST00239,2023-12-26,75.0,Female,3143469,37,1.0,Debit Card,,No
CUST00240,2023-12-26,,F,1061190,9,49.0,E-Wallet,Jawa Barat,No
CUST00241,2025-05-18,69.0,M,3520443,39,,Debit Card,Jawa Barat,Yes
CUST00242,2024-05-26,69.0,,378879,32,25.0,Credit Card,Jabodetabek,Yes
CUST00243,2025-02-27,41.0,Male,4805257,27,24.0,Credit Card,Jabodetabek,No
CUST00244,2024-03-09,18.0,F,317045,51,,Credit Card,Jawa Barat,No
CUST00245,2024-08-23,,Male,481440,52,,E-Wallet,,No
CUST00246,2024-11-13,33.0,Female,0,8,30.0,Credit Card,Jabodetabek,No
CUST00247,2024-01-16,26.0,Female,0,34,,E-Wallet,Jabodetabek,Yes
CUST00248,2024-04-11,,,1290769,17,46.0,E-Wallet,Jabodetabek,No
CUST00249,2025-01-28,49.0,,0,50,7.0,Credit Card,Jabodetabek,Yes
CUST00250,2024-07-20,18.0,F,0,59,10.0,Debit Card,Jawa Tengah,Yes
CUST00251,2023-07-03,71.0,Female,1491905,37,24.0,Credit Card,,Yes
CUST00252,2023-07-25,,M,1453160,36,30.0,E-Wallet,Jawa Barat,No
CUST00253,2023-01-07,70.0,F,2219304,47,35.0,Credit Card,Jawa Barat,Yes
CUST00254,2023-04-17,70.0,Female,0,1,,Debit Card,,No
CUST00255,2024-04-14,49.0,Male,1323672,59,,Credit Card,Jawa Barat,No
CUST00256,2025-05-21,58.0,M,3912225,9,,Cash,Jawa Tengah,No
CUST00257,2023-04-19,,Female,1129836,9,50.0,Cash,,Yes
CUST00258,2025-05-22,38.0,Male,2397830,29,,Credit Card,Jawa Barat,No
CUST00259,2024-02-10,37.0,,0,10,6.0,Credit Card,Jawa Tengah,No
CUST00260,2024-04-18,34.0,Male,0,36,48.0,Debit Card,Jabodetabek,Yes
CUST00261,2025-04-12,18.0,Male,0,24,44.0,Credit Card,Jabodetabek,No
CUST00262,2023-06-22,,,0,8,,Cash,,Yes
CUST00263,2024-04-01,,Female,0,14,,Credit Card,Jawa Barat,No
CUST00264,2024-01-28,,Female,4851320,31,4.0,Cash,Jawa Barat,No
CUST00265,2024-07-11,59.0,F,2430261,25,,E-Wallet,Jawa Tengah,No
CUST00266,2025-04-08,42.0,F,3668734,15,,E-Wallet,Jawa Barat,Yes
CUST00267,2024-08-12,28.0,F,3558947,53,48.0,E-Wallet,Jawa Barat,Yes
CUST00268,2024-08-04,68.0,,4690745,45,23.0,Debit Card,Jawa Barat,No
CUST00269,2023-01-21,,,886338,6,4.0,Cash,Jabodetabek,Yes
CUST00270,2023-06-01,39.0,,3714623,12,21.0,Debit Card,Jabodetabek,Yes
CUST00271,2023-11-06,51.0,M,4477523,26,38.0,Debit Card,Jawa Barat,No
CUST00272,2024-11-12,,,3365329,36,,Debit Card,,Yes
CUST00273,2023-07-06,37.0,,895362,45,,E-Wallet,Jawa Barat,Yes
CUST00274,2023-11-24,58.0,Female,0,48,5.0,Credit Card,Jawa Tengah,No
CUST00275,2025-01-07,,Male,3523325,5,,Credit Card,,Yes
CUST00276,2025-04-28,46.0,F,0,23,,Debit Card,Jawa Barat,Yes
CUST00277,2023-06-24,46.0,F,0,17,7.0,Debit Card,Jabodetabek,No
CUST00278,2023-06-10,,Male,2174744,28,42.0,Credit Card,Jawa Tengah,No
CUST00279,2023-09-01,,Male,4514223,35,,Credit Card,,No
CUST00280,2025-04-23,,,0,1,28.0,Cash,Jawa Barat,No
CUST00281,2025-03-14,24.0,F,0,6,31.0,Cash,,No
CUST00282,2024-04-01,60.0,Male,2432229,24,,E-Wallet,,Yes
CUST00283,2024-11-15,47.0,M,1276430,10,49.0,Cash,Jawa Barat,Yes
CUST00284,2023-11-03,,Male,3877935,44,31.0,Cash,Jabodetabek,No
CUST00285,2023-05-10,74.0,Male,0,12,11.0,Cash,Jabodetabek,Yes
CUST00286,2024-02-02,68.0,,4749251,17,21.0,Cash,Jawa Tengah,Yes
CUST00287,2024-02-29,,Female,4649516,40,,Debit Card,Jabodetabek,Yes
CUST00288,2024-01-28,24.0,F,4819227,57,,Cash,Jabodetabek,No
CUST00289,2024-02-10,,M,4296552,44,,Debit Card,Jabodetabek,Yes
CUST00290,2025-06-08,,Female,0,20,,Debit Card,Jawa Tengah,Yes
CUST00291,2025-04-23,,F,4268733,6,,Cash,Jawa Tengah,Yes
CUST00292,2023-06-27,21.0,Female,3652472,33,26.0,Debit Card,Jabodetabek,Yes
CUST00293,2025-04-23,,F,0,46,,Cash,Jabodetabek,No
CUST00294,2023-06-17,,M,0,12,,Credit Card,Jawa Tengah,No
CUST00295,2024-11-24,19.0,Female,4790593,50,14.0,E-Wallet,,Yes
CUST00296,2023-09-16,65.0,,187320,42,12.0,E-Wallet,Jawa Tengah,Yes
CUST00297,2023-01-08,,,2075177,30,,E-Wallet,Jawa Tengah,Yes
CUST00298,2023-09-25,37.0,M,0,18,,Debit Card,Jawa Barat,No
CUST00299,2023-10-30,51.0,M,0,44,9.0,Cash,,No
CUST00300,2024-06-03,65.0,M,3719673,46,,Debit Card,Jawa Barat,No
CUST00301,2024-11-01,,Male,0,47,36.0,Debit Card,Jawa Tengah,No
CUST00302,2024-04-26,,Male,0,38,,Credit Card,,Yes
CUST00303,2023-07-25,30.0,M,0,27,4.0,Cash,,Yes
CUST00304,2024-10-11,70.0,Male,906471,32,22.0,Credit Card,,No
CUST00305,2024-02-18,35.0,F,814525,9,,Cash,,No
CUST00306,2024-11-23,65.0,Male,0,1,21.0,Debit Card,Jawa Barat,Yes
CUST00307,2025-04-23,40.0,Male,3804363,38,20.0,E-Wallet,Jawa Tengah,Yes
CUST00308,2024-05-16,73.0,M,0,57,44.0,Debit Card,Jawa Barat,No
CUST00309,2023-05-07,43.0,M,1090871,14,47.0,Credit Card,,Yes
CUST00310,2024-12-07,69.0,Male,353788,43,7.0,Cash,,Yes
CUST00311,2024-03-06,66.0,Male,3994881,10,14.0,E-Wallet,Jawa Barat,No
CUST00312,2024-09-15,66.0,Female,643814,51,,E-Wallet,Jawa Barat,Yes
CUST00313,2023-08-29,,Male,3082639,32,,Credit Card,Jabodetabek,No
CUST00314,2023-09-20,74.0,Female,2222422,50,33.0,Cash,Jawa Tengah,Yes
CUST00315,2025-03-31,34.0,M,568628,56,,Cash,Jabodetabek,No
CUST00316,2024-09-28,24.0,M,4391156,11,,Credit Card,Jawa Tengah,No
CUST00317,2024-10-26,39.0,Female,0,18,,Credit Card,Jawa Barat,No
CUST00318,2024-09-17,21.0,F,4910981,31,,E-Wallet,Jabodetabek,Yes
CUST00319,2024-11-01,,M,0,29,3.0,Credit Card,Jawa Barat,No
CUST00320,2024-05-08,70.0,M,4443347,40,,Cash,Jawa Barat,Yes
CUST00321,2023-03-18,53.0,F,198842,33,,E-Wallet,Jawa Barat,Yes
CUST00322,2023-03-22,39.0,F,3467049,42,,Cash,,Yes
CUST00323,2024-02-18,,F,0,48,42.0,Credit Card,Jabodetabek,Yes
CUST00324,2024-01-08,74.0,Male,4866697,36,,Debit Card,,No
CUST00325,2023-04-10,73.0,Female,4502940,24,,Credit Card,Jawa Tengah,Yes
CUST00326,2024-05-19,,Female,0,45,7.0,Cash,Jabodetabek,Yes
CUST00327,2023-04-21,34.0,F,0,14,30.0,Credit Card,Jabodetabek,No
CUST00328,2025-05-08,72.0,,0,1,34.0,Cash,Jawa Barat,No
CUST00329,2024-03-04,67.0,,0,43,,Debit Card,Jawa Tengah,No
CUST00330,2024-12-29,,,2049372,9,,Debit Card,Jawa Barat,No
CUST00331,2024-05-30,74.0,,0,59,44.0,E-Wallet,Jabodetabek,Yes
CUST00332,2025-04-07,,Male,4413991,58,,Credit Card,Jabodetabek,No
CUST00333,2023-05-30,42.0,Male,0,49,,E-Wallet,Jawa Barat,No
CUST00334,2023-09-01,,,3214916,56,44.0,E-Wallet,Jabodetabek,No
CUST00335,2024-09-27,,F,1461365,1,,Debit Card,Jawa Tengah,Yes
CUST00336,2024-11-30,73.0,Male,4627697,13,,Debit Card,Jawa Barat,Yes
CUST00337,2024-08-21,,M,0,36,17.0,Credit Card,Jawa Tengah,Yes
