,Customer_ID,Age,Annual_Income,Spending_Score,Transactions,Region,Payment_Method,Last_Purchase
91,CUST092,,179,97,66,Jakarta,E-Wallet,125
92,CUST093,31,217,,64,Bekasi,COD,299
93,CUST094,61,179,85,32,Bandung,COD,24
94,CUST095,17,87,,39,Jakarta,E-Wallet,144
95,CUST096,41,202,87,73,Depok,Transfer,12
96,CUST097,23,222,33,42,Bekasi,E-Wallet,211
97,CUST098,25,203,67,43,Jakarta,Transfer,24
98,CUST099,40,142,18,28,Jakarta,E-Wallet,67
99,CUST100,17,164,25,12,Bekasi,E-Wallet,66
100,CUST101,60,57,95,11,Jakarta,COD,
101,CUST102,24,700,54,45,Bandung,Transfer,108
102,CUST103,40,88,58,1,Jakarta,Transfer,145
103,CUST104,27,135,67,34,Bandung,COD,110
104,CUST105,33,117,46,7,Bandung,COD,227
105,CUST106,24,217,24,25,Bekasi,COD,110
106,CUST107,51,233,32,73,Jakarta,COD,33
107,CUST108,51,158,47,33,Bekasi,Transfer,
108,CUST109,49,163,86,6,Jakarta,Transfer,263
109,CUST110,21,116,23,67,Jakarta,E-Wallet,
110,CUST111,58,220,66,57,Depok,E-Wallet,82
111,CUST112,55,143,27,74,Jakarta,COD,41
112,CUST113,57,206,2,28,Bekasi,COD,100
113,CUST114,44,89,,35,Bandung,COD,5
114,CUST115,,227,17,20,Jakarta,E-Wallet,179
115,CUST116,25,112,33,35,Depok,E-Wallet,281
116,CUST117,24,22,9,9,Bekasi,E-Wallet,
117,CUST118,28,167,43,72,Jakarta,E-Wallet,225
118,CUST119,50,206,48,23,Bekasi,E-Wallet,314
119,CUST120,49,183,39,63,Depok,E-Wallet,364
120,CUST121,64,166,93,48,Depok,E-Wallet,228
121,CUST122,39,109,42,-10,Bekasi,COD,
122,CUST123,40,214,26,23,Jakarta,COD,149
123,CUST124,,500,,22,Bandung,COD,276
124,CUST125,51,167,50,61,Depok,COD,197
125,CUST126,60,115,25,36,Jakarta,E-Wallet,69
126,CUST127,56,218,24,11,Jakarta,Transfer,111
127,CUST128,38,71,13,54,Bandung,E-Wallet,3
128,CUST129,43,180,,12,Depok,Transfer,349
129,CUST130,-5,187,,22,Depok,COD,330
130,CUST131,17,147,57,29,Jakarta,E-Wallet,317
131,CUST132,51,58,36,16,Jakarta,COD,349
132,CUST133,53,101,45,61,Bandung,E-Wallet,
133,CUST134,63,123,20,12,Bandung,COD,151
134,CUST135,30,148,65,58,Depok,Transfer,310
135,CUST136,19,30,,18,Bekasi,Transfer,136
136,CUST137,17,239,16,48,Depok,Transfer,246
137,CUST138,,204,14,11,Jakarta,E-Wallet,242
138,CUST139,42,236,76,60,Depok,Transfer,
139,CUST140,30,197,87,18,Bekasi,E-Wallet,
140,CUST141,,170,15,75,Bandung,Transfer,228
141,CUST142,43,178,92,8,Bekasi,Transfer,35
142,CUST143,25,241,98,70,Bekasi,E-Wallet,222
143,CUST144,31,61,66,27,Bekasi,E-Wallet,5
144,CUST145,31,118,32,77,Bandung,Transfer,321
145,CUST146,42,26,87,51,Bekasi,E-Wallet,219
146,CUST147,58,163,63,15,Bekasi,Transfer,74
147,CUST148,29,109,86,68,Bekasi,E-Wallet,3
148,CUST149,48,131,,11,Jakarta,COD,334
149,CUST150,55,79,,24,Bekasi,COD,133
