Usia,Pendapatan_Bulanan,Status_Pekerjaan,Lama_Bekerja,Status_Pernikahan,Jumlah_Tanggungan,Skor_Kredit,Riwayat_Kredit,Kelayakan_Kredit
18,10.9,Wiraswasta,17,Belum Menikah,,,Buruk,TIDAK
52,2.8,wirausaha,6,,,,,TIDAK
,6.2,KONTRAK,19,menikah,,583,Cukup,Layak
36,,Tetap,24,Belum Menikah,,914,cukup,Layak
,23.7,tetap,5,Menikah,,,baik,Layak
42,12.5,KONTRAK,1,,5,738,Baik,layak
46,6.4,wirausaha,,menikah,,714,BURUK,
41,11.5,Tetap,,Menikah,10,814,BURUK,
27,2.4,KONTRAK,,menikah,6,,Baik,layak
37,1.7,wirausaha,26,BELUM,10,,BURUK,Tidak
31,12.4,KONTRAK,8,menikah,1,,Baik,layak
56,,Wiraswasta,19,Menikah,0,,cukup,
59,2.8,,3,Menikah,6,,cukup,TIDAK
33,4.7,,19,BELUM,3,757,Cukup,layak
45,7,tetap,,Menikah,1,,baik,
35,20.6,,15,menikah,,,cukup,
60,14.3,Tidak Tetap,6,BELUM,0,821,,
,2.1,wirausaha,20,,,,,TIDAK
28,3.9,Kontrak,6,,9,870,cukup,
51,,wirausaha,25,Belum Menikah,9,220,,layak
34,13.2,Wiraswasta,28,menikah,,730,baik,Tidak
64,11.9,Wiraswasta,,,,850,Cukup,Tidak
33,11.7,Tidak Tetap,23,,,447,baik,
28,9.6,tetap,2,BELUM,,799,BURUK,Tidak
,,Tetap,,Belum Menikah,4,822,BURUK,layak
41,5.8,wirausaha,18,,,,Buruk,layak
27,7.3,tetap,8,Belum Menikah,4,814,BURUK,layak
29,24.9,wirausaha,,Menikah,4,,Cukup,
59,,Wiraswasta,6,Belum Menikah,,813,BURUK,layak
31,21.9,KONTRAK,,menikah,6,,cukup,
25,21.8,tetap,13,Belum Menikah,8,691,Buruk,Tidak
48,,Tetap,28,Belum Menikah,1,650,cukup,TIDAK
42,14.5,Tidak Tetap,0,,,,Cukup,Tidak
43,12.8,Wiraswasta,2,menikah,,545,BURUK,Tidak
48,4.5,Tetap,,Belum Menikah,,658,Buruk,Layak
57,,Tetap,3,Menikah,9,760,baik,Tidak
,,Kontrak,,,7,,BURUK,
28,,Tidak Tetap,8,menikah,9,,baik,Tidak
51,2,,,Menikah,6,436,Buruk,layak
50,21.9,KONTRAK,,Menikah,0,,BURUK,Tidak
39,,Kontrak,11,Menikah,9,,,TIDAK
47,3.5,Wiraswasta,,BELUM,4,588,cukup,Layak
47,3.5,Kontrak,8,,,,,layak
,,Tidak Tetap,,BELUM,,,Cukup,
51,3,KONTRAK,,Belum Menikah,9,818,baik,TIDAK
57,13.1,,20,BELUM,,681,,
57,,,10,Belum Menikah,,,baik,layak
49,5.9,KONTRAK,,,2,484,,TIDAK
,3.5,Tidak Tetap,,menikah,0,,Baik,TIDAK
,3.8,Tetap,,BELUM,,,cukup,Tidak
23,15.4,wirausaha,15,BELUM,8,812,baik,
,,Tidak Tetap,,menikah,,,Cukup,
,3.3,,,,2,667,baik,Tidak
24,4.6,tetap,8,menikah,1,583,cukup,
,,tetap,24,BELUM,,,Buruk,Tidak
66,,KONTRAK,,,7,,Baik,Tidak
,1.5,tetap,,menikah,8,763,Cukup,layak
,16.7,KONTRAK,,Belum Menikah,1,802,baik,
55,,KONTRAK,23,Belum Menikah,10,687,Baik,layak
,10,KONTRAK,7,menikah,4,,,
49,16.5,Kontrak,,,0,743,,TIDAK
,,wirausaha,,Belum Menikah,,569,Baik,Layak
67,9.3,tetap,24,BELUM,3,599,cukup,Layak
,9.6,KONTRAK,6,menikah,6,648,baik,Layak
,,tetap,9,menikah,,472,Baik,
,9.1,KONTRAK,,,1,831,Cukup,Layak
,,,20,menikah,6,,cukup,TIDAK
42,6.2,Kontrak,20,BELUM,,,Cukup,
40,4.6,Tidak Tetap,27,menikah,8,656,,layak
52,15.4,Wiraswasta,12,Menikah,5,,Baik,
,1.4,,9,BELUM,,838,baik,
22,6.7,Wiraswasta,8,Belum Menikah,,,BURUK,TIDAK
43,6.2,KONTRAK,,Belum Menikah,8,640,Baik,layak
,,tetap,,Belum Menikah,9,700,cukup,layak
,20.5,,,Belum Menikah,3,,Buruk,Tidak
30,6.7,Tidak Tetap,,Menikah,9,507,BURUK,TIDAK
22,3.7,Tetap,18,Belum Menikah,,,BURUK,Layak
39,24.8,Wiraswasta,,Belum Menikah,,723,Cukup,layak
,2.9,Kontrak,,,5,710,baik,
,3.4,Wiraswasta,19,BELUM,9,,cukup,TIDAK
68,,Kontrak,8,BELUM,6,756,Buruk,Tidak
,12.3,Tetap,,menikah,3,,cukup,layak
51,,wirausaha,,,7,768,Buruk,layak
,,Kontrak,,Belum Menikah,,,cukup,Layak
,2.1,,19,Menikah,7,440,BURUK,TIDAK
,,Tetap,31,Menikah,10,,cukup,
35,,Tetap,5,BELUM,9,,Baik,Layak
52,,KONTRAK,11,,9,204,Cukup,TIDAK
,2.9,tetap,,BELUM,10,449,,TIDAK
50,6.8,Tidak Tetap,20,menikah,4,758,Buruk,Layak
,12.7,,10,,,394,BURUK,Tidak
36,13.3,Tidak Tetap,19,Menikah,,,Baik,
47,,tetap,,menikah,,,,TIDAK
51,,Wiraswasta,,,,,Cukup,TIDAK
23,6.7,tetap,17,,2,655,baik,layak
42,,Tidak Tetap,3,,3,353,,Layak
43,,KONTRAK,19,,6,450,Baik,Tidak
,18.7,KONTRAK,,menikah,6,,cukup,Tidak
,4.8,KONTRAK,32,BELUM,,,Cukup,Tidak
,10,Kontrak,5,menikah,,,baik,layak
66,13.3,wirausaha,5,Belum Menikah,,,Baik,Tidak
31,23.5,Tetap,,Menikah,,,baik,layak
,5.7,Wiraswasta,,menikah,9,753,cukup,TIDAK
,,wirausaha,34,menikah,3,291,Buruk,layak
47,5.9,KONTRAK,,Menikah,9,209,,layak
59,,wirausaha,12,BELUM,7,,Cukup,
,,tetap,13,Belum Menikah,1,,baik,layak
60,,Tetap,6,menikah,,404,Cukup,Layak
30,19.8,KONTRAK,2,Menikah,6,797,cukup,TIDAK
29,12.6,Tidak Tetap,12,Menikah,,,BURUK,Tidak
,14.5,Tetap,17,menikah,3,,Cukup,Layak
57,4.6,Kontrak,12,Menikah,,358,,Layak
27,,Tetap,,Belum Menikah,5,464,Buruk,
68,1,KONTRAK,4,BELUM,,,baik,Tidak
,18.4,Wiraswasta,2,BELUM,,587,,
45,15.7,Tidak Tetap,,,,,Cukup,
37,,Kontrak,1,Menikah,6,498,cukup,TIDAK
,6.8,Tidak Tetap,19,Belum Menikah,5,639,Buruk,
69,,tetap,,Menikah,2,665,BURUK,Tidak
55,,Wiraswasta,35,Menikah,10,,BURUK,TIDAK
27,,Wiraswasta,28,menikah,8,848,,layak
,,tetap,28,BELUM,6,,Cukup,layak
21,,tetap,,,4,671,Cukup,Tidak
,6.8,Kontrak,,Belum Menikah,,566,baik,
,,wirausaha,3,menikah,3,,BURUK,
,7,KONTRAK,9,,5,,baik,TIDAK
,11.1,Wiraswasta,4,BELUM,,604,baik,
,,Tidak Tetap,,,,776,Cukup,Layak
66,6.2,Kontrak,27,menikah,8,704,,layak
,,Wiraswasta,14,Belum Menikah,5,787,Baik,Layak
36,13.3,KONTRAK,19,BELUM,0,778,Cukup,
65,9.1,Tetap,12,menikah,6,,Buruk,Layak
50,,KONTRAK,1,BELUM,,301,baik,
